symbol,ex_dividend_date,dividend_receive_date,dividend_amount
00712,2023-03-21,2023-04-20,0.24
00713,2023-03-17,2023-04-25,0.68
00896,2023-03-16,2023-04-14,0.15
00915,2023-03-16,2023-04-21,0.22
00913,2023-02-21,2023-03-20,0.1
00775B,2023-02-20,2023-03-23,0.39
00771,2023-02-16,2023-03-21,0.18
00878,2023-02-16,2023-03-22,0.27
00891,2023-02-16,2023-03-20,0.11
00894,2023-02-16,2023-03-20,0.1
00900,2023-02-16,2023-03-21,0.12
00907,2023-02-16,2023-03-23,0.141
00728,2023-02-01,2023-03-06,0.93
00904,2023-02-01,2023-03-06,0.095
00905,2023-02-01,2023-03-06,0.27
00717,2023-01-31,2023-02-24,0.154
00908,2023-01-31,2023-02-24,0.138
0050,2023-01-30,2023-03-07,2.6
006203,2023-01-30,2023-03-02,1.23
00701,2023-01-30,2023-03-02,0.66
00702,2023-01-30,2023-03-02,0.29
00714,2023-01-30,2023-02-23,0.117
00735,2023-01-30,2023-03-02,0.32
00736,2023-01-30,2023-03-02,0.19
00770,2023-01-30,2023-03-02,2.8
00830,2023-01-30,2023-03-02,0.12
00881,2023-01-30,2023-03-02,0.35
00882,2023-01-17,2023-02-20,0.3
00912,2023-01-17,2023-02-20,0.2
00710B,2022-12-21,2023-01-31,0.26
00711B,2022-12-21,2023-01-31,0.19
00712,2022-12-21,2023-01-31,0.23
00713,2022-12-16,2023-01-16,1.45
00896,2022-12-16,2023-01-19,0.15
00907,2022-12-16,2023-01-18,0.141
00690,2022-11-28,2022-12-27,2.4
00775B,2022-11-18,2022-12-19,0.3
00731,2022-11-17,2022-12-14,2.8
0051,2022-11-16,2022-12-15,2.4
0053,2022-11-16,2022-12-15,1.71
0055,2022-11-16,2022-12-20,0.87
006208,2022-11-16,2022-12-19,1.03
00692,2022-11-16,2022-12-19,0.55
00771,2022-11-16,2022-12-15,0.19
00850,2022-11-16,2022-12-20,1.48
00878,2022-11-16,2022-12-19,0.28
00891,2022-11-16,2022-12-20,0.1
00892,2022-11-16,2022-12-19,0.35
00894,2022-11-16,2022-12-20,0.1
00900,2022-11-16,2022-12-19,0.15
00901,2022-11-16,2022-12-19,0.543
00774B,2022-10-21,2022-11-21,0.8
00774C,2022-10-21,2022-11-21,0.8
00904,2022-10-21,2022-11-21,0.21
0056,2022-10-19,2022-11-22,2.1
006204,2022-10-19,2022-11-21,2.677
00714,2022-10-19,2022-11-14,0.187
00717,2022-10-19,2022-11-21,0.167
00730,2022-10-19,2022-11-21,1.077
00733,2022-10-19,2022-11-21,0.984
00739,2022-10-19,2022-11-17,0.19
00907,2022-10-19,2022-11-21,0.141
00908,2022-10-19,2022-11-21,0.225
00912,2022-10-19,2022-11-21,0.2
00710B,2022-09-20,2022-10-18,0.26
00711B,2022-09-20,2022-10-18,0.18
00712,2022-09-20,2022-10-18,0.225
00713,2022-09-19,2022-10-24,1.45
00896,2022-09-19,2022-10-20,0.24
00775B,2022-08-18,2022-09-19,0.32
00701,2022-08-16,2022-09-19,0.25
00771,2022-08-16,2022-09-15,0.16
00878,2022-08-16,2022-09-19,0.28
00881,2022-08-16,2022-09-19,0.26
00891,2022-08-16,2022-09-20,0.26
00894,2022-08-16,2022-09-20,0.19
00900,2022-08-16,2022-09-19,1.2
0050,2022-07-18,2022-08-19,1.8
006203,2022-07-18,2022-08-16,0.83
006208,2022-07-18,2022-08-18,1.248
00692,2022-07-18,2022-08-18,1.483
00702,2022-07-18,2022-08-18,0.31
00714,2022-07-18,2022-08-11,0.125
00717,2022-07-18,2022-08-18,0.147
00735,2022-07-18,2022-08-18,0.25
00736,2022-07-18,2022-08-18,0.18
00882,2022-07-18,2022-08-22,0.85
00892,2022-07-18,2022-08-18,0.219
00710B,2022-06-21,2022-07-19,0.24
00711B,2022-06-21,2022-07-19,0.2
00712,2022-06-21,2022-07-19,0.205
00775B,2022-05-20,2022-06-21,0.21
00771,2022-05-18,2022-06-17,0.18
00878,2022-05-18,2022-06-21,0.32
00774B,2022-04-22,2022-05-24,0.53
00774C,2022-04-22,2022-05-24,0.53
0052,2022-04-20,2022-05-24,10.19
00714,2022-04-20,2022-05-17,0.364
00717,2022-04-20,2022-05-24,0.153
00733,2022-04-20,2022-05-24,0.238
00710B,2022-03-17,2022-04-18,0.24
00711B,2022-03-17,2022-04-18,0.16
00712,2022-03-17,2022-04-18,0.184
00896,2022-03-16,2022-04-20,0.015
00896,2022-03-16,2022-04-20,0.015
00771,2022-02-25,2022-03-24,0.18
00775B,2022-02-24,2022-03-28,0.31
00878,2022-02-22,2022-03-28,0.3
00891,2022-02-22,2022-03-21,0.29
00894,2022-02-22,2022-03-21,0.35
0050,2022-01-21,2022-03-04,3.2
006203,2022-01-21,2022-03-02,1.4
00728,2022-01-20,2022-03-02,1.99
00701,2022-01-18,2022-02-25,1.65
00702,2022-01-18,2022-02-25,0.27
00714,2022-01-18,2022-02-22,0.419
00717,2022-01-18,2022-02-25,0.139
00735,2022-01-18,2022-02-25,1.05
00736,2022-01-18,2022-02-25,0.28
00770,2022-01-18,2022-02-25,1.95
00830,2022-01-18,2022-02-25,2.8
00881,2022-01-18,2022-02-25,0.59
00882,2022-01-18,2022-02-21,0.36
00742,2021-12-30,2022-02-09,1.1
00710B,2021-12-21,2022-01-19,0.24
00711B,2021-12-21,2022-01-19,0.18
00712,2021-12-21,2022-01-19,0.187
00690,2021-11-26,2021-12-27,0.84
0051,2021-11-19,2021-12-20,1.75
0053,2021-11-19,2021-12-20,1.7
0054,2021-11-19,2021-12-20,0.7
0055,2021-11-19,2021-12-20,0.75
00713,2021-11-19,2021-12-20,3.15
00771,2021-11-19,2021-12-20,0.19
00850,2021-11-19,2021-12-23,1.05
00775B,2021-11-18,2021-12-17,0.3
00731,2021-11-17,2021-12-14,4.3
006208,2021-11-16,2021-12-17,1.641
00692,2021-11-16,2021-12-17,1.798
0087,2021-11-16,2021-12-17,
00878,2021-11-16,2021-12-17,0.28
00891,2021-11-16,2021-12-20,0.3
00892,2021-11-16,2021-12-17,0.58
00894,2021-11-16,2021-12-20,0.06
0056,2021-10-22,2021-11-25,1.8
00774B,2021-10-21,2021-11-19,0.52
00774C,2021-10-21,2021-11-19,0.52
00851,2021-10-21,2021-11-12,0.33
006204,2021-10-19,2021-11-19,5.3
00714,2021-10-19,2021-11-12,0.376
00717,2021-10-19,2021-11-19,0.135
00730,2021-10-19,2021-11-19,1.127
00733,2021-10-19,2021-11-19,2.09
00710B,2021-09-17,2021-10-19,0.24
00711B,2021-09-17,2021-10-19,0.18
00712,2021-09-17,2021-10-19,0.188
00771,2021-08-20,2021-09-22,0.18
00775B,2021-08-19,2021-09-17,0.32
00701,2021-08-17,2021-09-17,0.25
00878,2021-08-17,2021-09-17,0.3
00881,2021-08-17,2021-09-17,0.54
00891,2021-08-17,2021-09-22,0.25
0050,2021-07-21,2021-08-24,0.35
006203,2021-07-21,2021-08-19,0.19
006208,2021-07-16,2021-08-18,0.314
00692,2021-07-16,2021-08-18,0.172
00702,2021-07-16,2021-08-18,0.28
00714,2021-07-16,2021-08-11,0.382
00717,2021-07-16,2021-08-18,0.163
00735,2021-07-16,2021-08-18,0.21
00736,2021-07-16,2021-08-18,0.15
00882,2021-07-16,2021-08-20,0.68
00710B,2021-06-22,2021-07-20,0.24
00711B,2021-06-22,2021-07-20,0.18
00712,2021-06-22,2021-07-20,0.218
00771,2021-05-21,2021-06-22,0.18
00775B,2021-05-20,2021-06-21,0.27
00878,2021-05-18,2021-06-21,0.25
00774B,2021-04-22,2021-05-24,0.54
00774C,2021-04-22,2021-05-24,0.54
0052,2021-04-20,2021-05-24,1.032
00714,2021-04-20,2021-05-17,0.12
00717,2021-04-20,2021-05-24,0.162
00710B,2021-03-18,2021-04-16,0.24
00711B,2021-03-18,2021-04-16,0.18
00712,2021-03-18,2021-04-16,0.173
00771,2021-03-03,2021-04-01,0.17
00775B,2021-03-02,2021-03-31,0.295
00878,2021-02-25,2021-03-31,0.15
0050,2021-01-22,2021-03-09,3.05
006203,2021-01-22,2021-03-04,1.15
00728,2021-01-21,2021-03-03,1.9
00687B,2021-01-19,2021-02-26,0.19
00687B,2021-01-19,2021-02-26,0.19
00701,2021-01-19,2021-02-26,0.73
00702,2021-01-19,2021-02-26,0.18
00714,2021-01-19,2021-02-23,0.121
00717,2021-01-19,2021-02-25,0.148
00735,2021-01-19,2021-02-26,1.03
00736,2021-01-19,2021-02-26,0.25
00770,2021-01-19,2021-02-26,0.38
00830,2021-01-19,2021-02-26,0.32
00742,2020-12-30,2021-01-29,1.0
00710B,2020-12-17,2021-01-15,0.24
00711B,2020-12-17,2021-01-15,0.18
00712,2020-12-17,2021-01-15,0.173
00690,2020-11-27,2020-12-28,0.84
0051,2020-11-20,2020-12-21,1.1
0053,2020-11-20,2020-12-21,1.3
0054,2020-11-20,2020-12-21,0.75
0055,2020-11-20,2020-12-21,0.65
00713,2020-11-20,2020-12-21,1.7
00771,2020-11-20,2020-12-21,0.18
00850,2020-11-20,2020-12-24,0.9
00775B,2020-11-19,2020-12-18,0.33
00731,2020-11-18,2020-12-15,2.09
006208,2020-11-17,2020-12-18,1.139
00692,2020-11-17,2020-12-18,0.608
00878,2020-11-17,2020-12-18,0.05
0056,2020-10-28,2020-12-01,1.6
00660,2020-10-28,2020-11-26,0.36
00739,2020-10-28,2020-11-26,0.5
006204,2020-10-23,2020-11-23,0.76
00774B,2020-10-23,2020-11-23,0.8
00774C,2020-10-23,2020-11-23,0.8
00851,2020-10-23,2020-11-16,0.28
00714,2020-10-21,2020-11-16,0.102
00717,2020-10-21,2020-11-23,0.168
00730,2020-10-21,2020-11-23,0.843
00733,2020-10-21,2020-11-23,0.358
00710B,2020-09-17,2020-10-19,0.26
00711B,2020-09-17,2020-10-19,0.23
00712,2020-09-17,2020-10-19,0.273
00771,2020-08-21,2020-09-21,0.17
00775B,2020-08-20,2020-09-18,0.34
